geoid,name,B19013001,"B19013001, Error"
05000US06037,"Los Angeles County, CA",90112,392
86000US90001,90001,60767,4102
86000US90002,90002,59021,4153
86000US90003,90003,56030,3054
86000US90004,90004,64826,3586
86000US90005,90005,49419,2251
86000US90006,90006,51998,4269
86000US90007,90007,35378,4750
86000US90008,90008,61846,7304
86000US90010,90010,101455,13157
86000US90011,90011,59017,3471
86000US90012,90012,66860,7124
86000US90013,90013,36948,15371
86000US90014,90014,31000,7850
86000US90015,90015,69268,14077
86000US90016,90016,73516,7034
86000US90017,90017,52717,5664
86000US90018,90018,62864,4261
86000US90019,90019,73934,5263
86000US90020,90020,61184,2990
86000US90021,90021,32222,11563
86000US90022,90022,67967,5383
86000US90023,90023,59057,4332
86000US90024,90024,76583,7174
86000US90025,90025,103894,7781
86000US90026,90026,87334,6504
86000US90027,90027,94521,6285
86000US90028,90028,61349,4148
86000US90029,90029,60440,4584
86000US90031,90031,63090,4342
86000US90032,90032,82292,6261
86000US90033,90033,59652,4666
86000US90034,90034,105701,2188
86000US90035,90035,105013,6953
86000US90036,90036,109785,5813
86000US90037,90037,57622,4204
86000US90038,90038,61454,3973
86000US90039,90039,113818,14100
86000US90040,90040,74472,8260
86000US90041,90041,114526,9207
86000US90042,90042,95282,6985
86000US90043,90043,64792,7475
86000US90044,90044,53302,4785
86000US90045,90045,135032,8173
86000US90046,90046,96250,3433
86000US90047,90047,71664,6132
86000US90048,90048,103495,6293
86000US90049,90049,170607,11595
86000US90052,90052,-666666700,
86000US90056,90056,133048,22316
86000US90057,90057,44823,5163
86000US90058,90058,37557,13350
86000US90059,90059,56152,5024
86000US90061,90061,61046,4443
86000US90062,90062,67701,6971
86000US90063,90063,72942,4239
86000US90064,90064,135383,9567
86000US90065,90065,94784,4932
86000US90066,90066,114141,7172
86000US90067,90067,195433,82766
86000US90068,90068,101630,8377
86000US90069,90069,107987,12190
86000US90071,90071,-666666700,
86000US90073,90073,-666666700,
86000US90077,90077,206319,72504
86000US90079,90079,-666666700,
86000US90089,90089,-666666700,
86000US90094,90094,145744,17860
86000US90095,90095,-666666700,
86000US90201,90201,60927,2161
86000US90210,90210,187801,18411
86000US90211,90211,122694,8770
86000US90212,90212,118019,23923
86000US90220,90220,82335,8007
86000US90221,90221,72937,6640
86000US90222,90222,78425,5934
86000US90230,90230,107109,6271
86000US90232,90232,122396,19549
86000US90240,90240,101904,11427
86000US90241,90241,88006,3918
86000US90242,90242,89075,6213
86000US90245,90245,150737,11117
86000US90247,90247,77333,5881
86000US90248,90248,91176,26247
86000US90249,90249,89712,10774
86000US90250,90250,78331,2655
86000US90254,90254,166442,23214
86000US90255,90255,64766,3319
86000US90260,90260,87825,7315
86000US90262,90262,75194,6082
86000US90263,90263,-666666700,
86000US90265,90265,196742,22274
86000US90266,90266,204306,20391
86000US90270,90270,61165,6299
86000US90272,90272,189713,21491
86000US90274,90274,215925,21204
86000US90275,90275,179469,9745
86000US90277,90277,127795,11974
86000US90278,90278,160236,8708
86000US90280,90280,74651,3473
86000US90290,90290,149304,34123
86000US90291,90291,122738,11126
86000US90292,90292,146167,13868
86000US90293,90293,134313,13072
86000US90301,90301,65806,5329
86000US90302,90302,73777,7950
86000US90303,90303,72815,5944
86000US90304,90304,64125,15235
86000US90305,90305,92665,13814
86000US90401,90401,110385,17449
86000US90402,90402,159100,46590
86000US90403,90403,121925,15573
86000US90404,90404,95139,13299
86000US90405,90405,121241,17403
86000US90501,90501,92923,4866
86000US90502,90502,94291,11857
86000US90503,90503,125912,7517
86000US90504,90504,107552,8420
86000US90505,90505,115593,10887
86000US90506,90506,-666666700,
86000US90601,90601,104052,6792
86000US90602,90602,68505,2950
86000US90603,90603,136705,11808
86000US90604,90604,105074,4395
86000US90605,90605,99635,7291
86000US90606,90606,100428,8493
86000US90621,90621,97612,9573
86000US90623,90623,116594,16949
86000US90630,90630,130154,8156
86000US90631,90631,104251,4332
86000US90638,90638,109649,7134
86000US90639,90639,-666666700,
86000US90640,90640,79625,4492
86000US90650,90650,100085,5094
86000US90660,90660,88201,8138
86000US90670,90670,88872,6558
86000US90701,90701,101004,16448
86000US90703,90703,134987,4582
86000US90704,90704,105139,27326
86000US90706,90706,78722,4435
86000US90710,90710,82478,7290
86000US90712,90712,122435,13175
86000US90713,90713,133419,7594
86000US90715,90715,91875,7787
86000US90716,90716,76410,4076
86000US90717,90717,94241,8563
86000US90723,90723,75250,6365
86000US90731,90731,76395,4995
86000US90732,90732,120807,7853
86000US90740,90740,85347,8344
86000US90744,90744,60847,4155
86000US90745,90745,107988,5182
86000US90746,90746,113364,13871
86000US90747,90747,-666666700,
86000US90755,90755,113512,16925
86000US90802,90802,74510,6339
86000US90803,90803,114656,7204
86000US90804,90804,71614,4307
86000US90805,90805,73415,5362
86000US90806,90806,79208,5476
86000US90807,90807,103777,7189
86000US90808,90808,137855,7523
86000US90810,90810,84350,7073
