geoid,name,B25070001,"B25070001, Error",B25070002,"B25070002, Error",B25070003,"B25070003, Error",B25070004,"B25070004, Error",B25070005,"B25070005, Error",B25070006,"B25070006, Error",B25070007,"B25070007, Error",B25070008,"B25070008, Error",B25070009,"B25070009, Error",B25070010,"B25070010, Error",B25070011,"B25070011, Error"
05000US06037,"Los Angeles County, CA",1848466,7040,50496,1791,116237,2571,185964,3462,200924,4080,190551,3631,164112,3453,125317,3140,181534,3103,542635,5903,90696,2936
86000US90001,90001,9079,563,212,95,479,128,618,161,1312,297,880,290,838,234,544,164,1255,188,2573,394,368,167
86000US90002,90002,7925,500,173,100,287,114,557,156,717,187,703,200,591,188,733,204,884,201,2997,390,283,110
86000US90003,90003,12944,580,547,175,538,156,801,235,1384,288,1330,299,921,257,681,181,1413,257,4550,426,779,195
86000US90004,90004,20298,734,538,165,1248,227,1907,395,1922,304,2021,294,1755,309,1612,297,2057,373,6512,600,726,219
86000US90005,90005,16665,772,422,134,749,201,1321,298,1323,314,1766,309,1797,371,1094,281,1670,336,5754,549,769,249
86000US90006,90006,17796,711,561,140,1070,237,1672,331,1811,315,1781,252,1575,269,1276,333,1542,237,5727,492,781,182
86000US90007,90007,11390,590,387,141,447,144,906,218,745,170,767,170,1120,255,599,159,1175,276,4179,459,1065,250
86000US90008,90008,10078,652,337,165,693,239,721,209,840,250,1052,234,628,179,361,191,774,212,4196,708,476,202
86000US90010,90010,2178,295,34,37,198,128,258,100,150,77,325,155,283,134,180,86,192,127,419,150,139,89
86000US90011,90011,17944,697,436,144,1062,220,1769,348,1379,258,1922,370,1657,268,1322,320,2014,296,5930,461,453,173
86000US90012,90012,14448,787,451,140,825,191,1571,347,1335,295,1834,349,1711,360,899,267,1347,331,3885,480,590,173
86000US90013,90013,7799,678,323,172,432,203,671,303,794,248,997,300,969,279,584,229,734,304,1833,309,462,168
86000US90014,90014,6587,547,109,86,343,170,468,197,502,234,1041,358,825,267,419,216,573,240,1990,440,317,166
86000US90015,90015,11838,838,330,148,852,335,1057,334,1507,402,967,435,1346,428,535,252,757,330,3433,685,1054,318
86000US90016,90016,11781,804,293,124,1126,257,1116,255,997,357,909,227,1006,282,816,252,1404,347,3450,639,664,238
86000US90017,90017,13776,734,227,89,744,214,1014,275,1365,286,1164,291,1480,335,950,331,1518,381,4819,666,495,194
86000US90018,90018,11720,598,330,192,723,196,724,233,1246,321,1270,353,1181,264,629,211,1112,252,3780,395,725,216
86000US90019,90019,18299,934,492,156,1513,394,1748,289,2004,465,2129,429,1368,340,1246,328,1666,296,5272,619,861,245
86000US90020,90020,16335,830,233,91,1105,454,1569,319,1485,304,1754,330,1313,333,962,245,1794,383,5392,503,728,216
86000US90021,90021,1376,256,108,76,58,51,128,73,53,70,96,69,87,79,98,75,82,61,620,218,46,36
86000US90022,90022,11298,597,329,108,1225,374,1508,247,1276,310,1051,228,980,239,724,185,1144,254,2612,357,449,128
86000US90023,90023,8796,458,225,125,531,140,987,258,979,222,726,159,1001,226,710,240,623,167,2670,397,344,128
86000US90024,90024,11314,674,363,141,456,165,807,180,806,208,557,186,485,165,503,168,1042,258,5508,676,787,192
86000US90025,90025,17857,895,788,290,1536,430,2359,354,1606,289,1488,378,1881,318,924,267,1478,292,4925,522,872,220
86000US90026,90026,20753,697,912,256,1798,337,2558,351,2560,403,2129,363,1842,330,1373,233,1680,245,4974,560,927,236
86000US90027,90027,17734,589,834,183,1312,280,2228,327,2191,340,1939,284,1587,276,957,226,1621,260,4571,465,494,167
86000US90028,90028,18170,823,405,165,748,257,1649,327,2222,488,2041,448,1465,332,918,265,1606,379,6069,865,1047,260
86000US90029,90029,11925,448,308,111,863,212,1195,219,1284,268,1184,228,964,193,997,204,1128,265,3614,499,388,141
86000US90031,90031,8446,452,389,141,323,106,882,186,597,141,862,207,817,222,486,163,952,267,2683,371,455,164
86000US90032,90032,6566,459,292,193,347,113,895,189,710,188,714,187,548,156,503,145,621,195,1522,244,414,148
86000US90033,90033,10882,483,351,135,883,178,1099,212,1421,254,1141,206,968,217,716,181,886,211,3159,377,258,97
86000US90034,90034,21217,851,580,144,1781,292,2793,411,3090,466,2453,465,1974,364,1886,431,1662,321,4507,456,491,150
86000US90035,90035,8910,629,139,84,740,266,669,176,1108,374,1045,269,967,333,816,269,907,230,2317,363,202,79
86000US90036,90036,17743,637,564,162,1458,327,2008,316,1884,318,1701,275,1763,325,1309,320,1450,316,4924,558,682,246
86000US90037,90037,13623,671,309,109,945,262,1064,251,1605,347,1378,274,1295,251,541,143,1526,291,4200,393,760,291
86000US90038,90038,12387,588,280,171,469,146,1343,282,1237,319,1471,299,1156,309,869,284,916,244,4038,531,608,223
86000US90039,90039,6775,600,224,101,540,160,706,197,672,272,877,257,533,251,335,180,877,236,1726,375,285,122
86000US90040,90040,1449,216,57,64,131,83,173,115,149,90,105,63,59,45,94,81,116,86,489,162,76,73
86000US90041,90041,4498,382,174,72,426,163,525,151,530,181,533,170,301,108,530,245,255,105,1107,248,117,70
86000US90042,90042,11307,532,342,139,871,156,1267,274,1764,283,1098,290,1036,220,900,213,1003,185,2699,351,327,93
86000US90043,90043,7739,661,136,80,404,168,515,237,408,167,985,365,556,184,443,236,679,203,3295,514,318,125
86000US90044,90044,18354,907,728,235,769,219,1159,285,1828,284,1200,293,1483,278,1150,278,1774,327,7490,788,773,279
86000US90045,90045,8669,695,155,105,648,220,723,270,1164,277,781,197,684,234,566,239,757,266,2723,527,468,188
86000US90046,90046,22343,829,779,266,1860,484,3067,524,2170,514,2879,568,1841,343,1316,323,1959,449,5563,659,909,267
86000US90047,90047,7630,834,175,147,466,175,454,304,526,205,649,201,445,201,226,131,891,384,3323,587,475,220
86000US90048,90048,8884,608,232,101,605,201,751,192,1346,351,677,194,761,226,465,158,864,227,2888,454,295,71
86000US90049,90049,7766,452,403,134,844,214,1017,264,1040,248,780,209,653,189,450,186,556,170,1633,245,390,159
86000US90052,90052,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US90056,90056,1465,364,116,116,150,112,344,264,100,76,133,111,93,133,116,88,159,146,254,137,0,19
86000US90057,90057,16347,667,359,136,794,205,1651,366,1282,380,1672,267,1809,328,766,184,2119,378,5064,543,831,217
86000US90058,90058,1082,212,22,38,69,65,115,75,57,38,90,59,150,88,106,78,98,101,324,139,51,70
86000US90059,90059,5754,564,105,89,356,164,541,169,514,176,368,180,341,132,385,165,567,210,2085,357,492,237
86000US90061,90061,5188,436,257,130,250,113,392,139,511,213,452,163,251,109,458,176,423,179,1975,335,219,100
86000US90062,90062,5383,419,199,95,248,123,411,182,563,214,435,172,567,207,407,144,441,170,1890,333,222,86
86000US90063,90063,8164,543,329,135,774,222,898,213,914,237,1099,236,751,203,358,136,693,192,1857,341,491,197
86000US90064,90064,6013,477,250,122,376,128,746,208,535,155,772,294,334,136,733,229,583,202,1364,214,320,171
86000US90065,90065,8826,593,422,124,542,192,861,199,1149,293,947,210,762,192,522,187,1026,339,2198,299,397,119
86000US90066,90066,15599,784,367,142,1481,286,2002,361,2426,434,2097,281,959,185,1003,237,1298,371,3174,455,792,208
86000US90067,90067,785,287,0,14,85,94,37,62,19,27,7,11,0,14,36,60,92,100,210,134,299,267
86000US90068,90068,6910,592,157,99,423,132,585,162,835,254,537,165,454,169,558,203,610,213,2246,342,505,275
86000US90069,90069,8540,693,329,144,672,208,1226,325,776,247,1065,337,584,248,387,149,738,302,2412,465,351,180
86000US90071,90071,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US90073,90073,4,6,0,14,4,6,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US90077,90077,520,160,173,112,3,6,8,15,28,35,13,21,14,18,0,19,0,19,198,99,83,80
86000US90079,90079,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US90089,90089,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
86000US90094,90094,4270,434,125,128,270,165,419,198,425,241,561,290,441,213,180,139,581,275,920,346,348,190
86000US90095,90095,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US90201,90201,19346,659,331,142,1276,238,1889,337,2148,318,1751,318,1596,317,1286,283,2214,368,6155,438,700,279
86000US90210,90210,2350,347,205,111,203,115,133,102,108,77,133,102,196,125,28,36,128,72,911,282,305,163
86000US90211,90211,2337,321,27,32,142,71,365,126,201,129,319,145,133,86,73,54,210,119,824,257,43,32
86000US90212,90212,4373,510,543,244,216,115,415,209,371,213,364,167,337,205,269,183,291,153,1267,370,300,174
86000US90220,90220,5178,444,48,39,368,131,429,127,707,264,480,157,267,103,453,227,662,205,1473,248,291,129
86000US90221,90221,6076,421,110,85,340,146,499,141,692,187,805,202,379,151,431,169,531,152,1873,316,416,189
86000US90222,90222,3877,434,107,78,245,108,244,94,511,182,389,140,442,213,273,140,382,128,1031,196,253,122
86000US90230,90230,5642,562,285,137,388,138,651,247,588,174,473,158,712,304,429,215,421,164,1428,409,267,132
86000US90232,90232,4444,513,141,80,483,239,487,162,751,422,398,145,481,196,251,133,198,92,1159,277,95,88
